City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Okakarara,NA,2023-01-28 17:52:04,-20.5833,17.4333,84.7,24,33,5.44
153,Hobart,AU,2023-01-28 17:51:16,-42.8794,147.3294,61.05,82,100,2.3
154,Pauini,BR,2023-01-28 17:52:05,-7.7136,-66.9764,72.86,99,100,3.15
155,Ubatuba,BR,2023-01-28 17:51:35,-23.4339,-45.0711,82.96,77,29,5.01
156,Celestun,MX,2023-01-28 17:52:05,20.8667,-90.4,80.08,65,32,9.28
157,Cidreira,BR,2023-01-28 17:52:06,-30.1811,-50.2056,81.73,70,49,11.52
158,Xuddur,SO,2023-01-28 17:52:06,4.1213,43.8894,79.07,25,0,11.52
159,Saint George,US,2023-01-28 17:51:24,37.1041,-113.5841,43.43,58,0,1.01
160,Vanavara,RU,2023-01-28 17:52:06,60.34,102.2797,4.3,97,99,4.99
161,Iqaluit,CA,2023-01-28 17:52:07,63.7506,-68.5145,-31.27,68,20,2.3
162,Arraial Do Cabo,BR,2023-01-28 17:50:39,-22.9661,-42.0278,91.36,70,0,17.27
163,Blackwater,AU,2023-01-28 17:52:07,-23.5833,148.8833,70.57,92,2,6.78
164,Bethel,US,2023-01-28 17:52:07,41.3712,-73.414,50.36,48,0,12.66
165,Alice Springs,AU,2023-01-28 17:50:23,-23.7,133.8833,74.75,94,93,6.91
166,Newcastle,AU,2023-01-28 17:52:08,-32.9272,151.7765,75.7,92,40,6.91
167,Vao,NC,2023-01-28 17:52:08,-22.6667,167.4833,76.98,65,100,6.93
168,Yerbogachen,RU,2023-01-28 17:52:08,61.2767,108.0108,-19.5,100,100,0.85
169,Canilla,GT,2023-01-28 17:52:09,15.1667,-90.85,77.59,39,30,5.17
170,Katsuura,JP,2023-01-28 17:52:09,35.1333,140.3,38.61,52,35,5.37
171,Axim,GH,2023-01-28 17:52:09,4.8699,-2.2405,81.72,80,81,10.71
172,Broome,US,2023-01-28 17:52:10,42.2506,-75.833,41.97,53,0,13.8
173,Marzuq,YE,2023-01-28 17:52:10,14.4,46.4667,62.55,66,84,4.16
174,Avera,US,2023-01-28 17:51:58,33.194,-82.5271,56.71,44,59,5.01
175,Tahoua,NE,2023-01-28 17:52:10,14.8888,5.2692,89.58,12,0,6.91
176,Matagami,CA,2023-01-28 17:52:11,49.7502,-77.6328,-3.89,65,75,12.66
177,Matara,LK,2023-01-28 17:52:11,5.9485,80.5353,73.47,87,100,1.23
178,Antofagasta,CL,2023-01-28 17:52:11,-23.65,-70.4,72.68,70,77,9.44
179,Akyab,MM,2023-01-28 17:52:12,20.15,92.9,72.64,77,0,1.54
180,Ponta Do Sol,PT,2023-01-28 17:49:26,32.6667,-17.1,61.12,56,83,7.07
181,Yellowknife,CA,2023-01-28 17:51:18,62.456,-114.3525,-13.45,70,20,12.66
182,Comodoro Rivadavia,AR,2023-01-28 17:52:12,-45.8667,-67.5,85.86,23,0,12.66
183,Ola,RU,2023-01-28 17:52:13,59.5833,151.2833,-1.37,88,100,8.63
184,Cabo San Lucas,MX,2023-01-28 17:51:07,22.8909,-109.9124,74.52,64,93,6.4
185,Yafran,LY,2023-01-28 17:52:13,32.0633,12.5286,44.53,39,14,3.2
186,Stornoway,GB,2023-01-28 17:53:13,58.2093,-6.3865,42.76,90,75,9.22
187,Buala,SB,2023-01-28 17:53:14,-8.145,159.5921,78.78,81,79,1.19
188,Sorland,NO,2023-01-28 17:53:10,67.667,12.6934,39.06,70,100,29.08
189,Katangli,RU,2023-01-28 17:53:14,51.7102,143.2326,-4.95,79,100,18.45
190,Muromtsevo,RU,2023-01-28 17:53:14,56.3724,75.2418,17.31,95,100,9.8
191,Aquiraz,BR,2023-01-28 17:53:15,-3.9014,-38.3911,87.89,65,33,11.61
192,Tonj,SS,2023-01-28 17:53:15,7.2737,28.6822,87.28,16,10,3.98
193,Mbekenyera,TZ,2023-01-28 17:53:15,-10.0,38.9833,71.92,94,7,6.44
194,Iquique,CL,2023-01-28 17:52:58,-20.2208,-70.1431,77.04,74,27,6.69
195,Hadejia,NG,2023-01-28 17:53:16,12.4498,10.0444,86.67,11,85,7.9
196,Litovko,RU,2023-01-28 17:53:16,49.2361,135.1742,-31.59,99,17,2.04
197,San Patricio,US,2023-01-28 17:53:16,28.017,-97.5169,68.92,80,99,14.79
198,Aksarka,RU,2023-01-28 17:53:17,66.5606,67.7975,-2.74,100,100,1.66
199,Victoria,HK,2023-01-28 17:53:06,22.2855,114.1577,55.45,29,22,18.01
200,Takaka,NZ,2023-01-28 17:53:17,-40.85,172.8,64.42,82,100,4.32
201,Narsaq,GL,2023-01-28 17:53:17,60.9167,-46.05,19.06,69,100,21.09
202,Fortuna,US,2023-01-28 17:53:18,40.5982,-124.1573,46.92,90,100,1.99
203,Alofi,NU,2023-01-28 17:52:26,-19.0595,-169.9187,73.29,94,95,1.14
204,Faya,SA,2023-01-28 17:53:18,18.3851,42.4509,59.11,63,3,2.68
205,Talakan,RU,2023-01-28 17:53:18,50.3167,130.3667,-34.89,100,25,1.63
206,Jiexiu,CN,2023-01-28 17:53:19,37.0244,111.9125,26.33,19,0,8.19
207,Talnakh,RU,2023-01-28 17:53:19,69.4865,88.3972,-2.56,97,99,6.15
208,Hofn,IS,2023-01-28 17:53:19,64.2539,-15.2082,40.73,85,100,7.07
209,Kerkini,GR,2023-01-28 17:53:20,41.2167,23.0833,41.05,75,23,5.3
210,Kruisfontein,ZA,2023-01-28 17:53:20,-34.0033,24.7314,61.88,79,93,16.42
211,Butaritari,KI,2023-01-28 17:50:22,3.0707,172.7902,81.01,78,13,24.9
212,Ukiah,US,2023-01-28 17:50:19,39.1502,-123.2078,50.43,97,1,1.74
213,Novouzensk,RU,2023-01-28 17:52:12,50.4592,48.1431,18.39,89,69,6.38
214,Sohag,EG,2023-01-28 17:53:21,26.557,31.6948,71.89,22,16,1.45
215,Krasnyy,RU,2023-01-28 17:53:21,54.5678,31.4333,26.11,84,100,1.83
216,Southern Pines,US,2023-01-28 17:53:21,35.174,-79.3923,59.79,32,0,6.91
217,Amparafaravola,MG,2023-01-28 17:53:22,-17.5833,48.2167,69.04,94,100,5.21
218,East London,ZA,2023-01-28 17:51:45,-33.0153,27.9116,70.74,88,75,12.66
219,Ravar,IR,2023-01-28 17:53:22,31.2656,56.8055,37.22,51,2,5.91
220,Segovia,ES,2023-01-28 17:53:22,41.1667,-4.0,35.44,85,86,12.35
221,Manuk Mangkaw,PH,2023-01-28 17:53:23,4.8,119.85,80.6,78,89,8.19
222,Ostrovnoy,RU,2023-01-28 17:53:23,68.0531,39.5131,27.75,88,100,25.88
223,Mercedes,AR,2023-01-28 17:53:06,-34.6515,-59.4307,89.94,25,0,9.17
224,Puerto Escondido,MX,2023-01-28 17:53:23,15.85,-97.0667,85.15,45,0,7.85
225,Laguna,US,2023-01-28 17:53:24,38.421,-121.4238,53.08,86,0,1.41
226,Vila,PT,2023-01-28 17:53:24,42.0304,-8.1588,38.28,88,16,6.29
227,Itarema,BR,2023-01-28 17:53:24,-2.9248,-39.9167,85.39,62,35,15.82
228,Vostok,RU,2023-01-28 17:53:25,46.4856,135.8833,-30.44,99,82,4.0
229,Bhaderwah,IN,2023-01-28 17:53:25,32.9784,75.7186,42.12,73,100,4.38
230,Codrington,AU,2023-01-28 17:54:25,-38.2667,141.9667,60.1,96,100,8.77
231,Betlitsa,RU,2023-01-28 17:54:26,54.0095,33.9588,26.92,73,99,1.83
